final,name,open,started,succeeded,selfTestFail,errors,patterns,snippets,initialUrl,finalUrl
True,Onetrust,True,True,True,False,[],"['/accept cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['Accept cookies', ""This site uses cookies to store information on your device - some are essential for making our site work, while others help us to improve the site and our advertising, but we won't set any non-essenti""]",http://which.co.uk/,https://www.which.co.uk/
False,,False,False,False,False,[],"['/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi']","['our websites. It will not apply to a different browser or device. If you visit our website using a different browser or device, you will need to exercise your choice for each browser or device. Allow ', 'cookies and other tracking technologies']",http://readtheory.org/,https://readtheory.org/
False,,False,False,False,False,[],"['/by continuing/gi', '/(this|our) (web)?site.*cookies/gi']","['By continuing', 'This site uses cookies']",http://real.com/,https://www.real.com/
False,,False,False,False,False,[],"['/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi']","[""This site uses cookies and similar technologies to work properly. With your permission, we'd like to set cookies"", 'cookies and similar technologies']",http://realme.com/,https://www.realme.com/global/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/reject all/gi', '/by clicking.*(accept|agree|allow)/gi', '/(this|our) (web)?site.*cookies/gi']","['Accept All', 'Reject All', 'By clicking “Accept All Cookies”, you agree', 'By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. Cookies Settings Reject All Ac', 'our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you']",http://reasonsecurity.com/,https://reasonlabs.com/?redirect=%2F
False,,False,False,False,False,[],"['/by clicking.*(accept|agree|allow)/gi', '/we (use|serve)( optional)? cookies/gi']","['By clicking Shorten URL, you agree', 'We use cookies']",http://rebrand.ly/,https://www.rebrandly.com/
True,hubspot,True,True,True,False,[],['/(this|our) (web)?site.*cookies/gi'],"['This website stores cookies on your computer. These cookies are used to improve your website experience and provide more personalized services to you, both on this website and through other media. To ']",http://rebuyengine.com/,https://www.rebuyengine.com/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/reject all/gi', '/by clicking.*(accept|agree|allow)/gi']","['Accept All', 'Reject All', 'By clicking “Accept All Cookies”, you agree']",http://rec.net/,https://rec.net/
False,,False,False,False,False,[],['/(this|our) (web)?site.*cookies/gi'],['Our site uses cookies'],http://interpol.int/,https://www.interpol.int/
True,Onetrust,True,True,True,False,[],"['/accept cookies/gi', '/accept all/gi']","['accept cookies', 'Accept All', 'ACCEPT ALL']",http://intimissimi.com/,https://www.intimissimi.com/us/
False,,False,False,False,False,[],"['/by continuing/gi', '/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['By continuing', 'We use cookies', 'we use cookies', 'our site to give you the best experience possible. By continuing to browse the site, you agree to this use. For more information on how we use cookies']",http://thriveglobal.com/,https://thriveglobal.com/
False,tiktok.com,False,False,False,False,[],[],[],http://tiktok.com/,https://www.tiktok.com/explore
True,Onetrust,True,True,True,False,[],[],[],http://tim.it/,https://www.tim.it/
True,funding-choices,True,True,True,False,[],['/store and\\/or access information.*on a device/gi'],['Store and/or access information on a device'],http://timesofmalta.com/,https://timesofmalta.com/
False,,False,False,False,False,[],['/by continuing/gi'],['By continuing'],http://mediafire.com/,https://www.mediafire.com/
False,hubspot,False,False,False,False,[],[],[],http://mediaplex.com/,https://www.epsilon.com/us?redirect=cnvr-home
False,iubenda,False,False,False,False,[],[],[],http://mediaset.it/,https://mediasetinfinity.mediaset.it/
False,,False,False,False,False,[],"['/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['We use cookies', 'this site to enhance your user experience. By clicking any link on this page you are giving your consent for us to set cookies']",http://medrxiv.org/,https://www.medrxiv.org/
